[21:34:46] [Info] こんにちは！ Booting Zettlr at Sat Jul 17 2021 21:34:44 GMT+0530 (India Standard Time).
[21:34:46] [Info] Performing environment check ...
[21:34:46] [Info] [Application] Pandoc has been bundled with this release. Path: /tmp/.mount_Z.AppInqAAK9/resources/pandoc
[21:34:46] [Info] Environment check complete.
[21:34:46] [Info] Registering custom protocol safe-file
[21:35:03] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/01/Wed/book took 305ms to load.
[21:35:03] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/01/Wed took 368ms to load.
[21:35:03] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/01 took 797ms to load.
[21:35:04] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/02/Fri/this.Day/LastWeek.md took 204ms to load.
[21:35:04] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/02/Fri/this.Day took 715ms to load.
[21:35:04] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/02/Fri took 822ms to load.
[21:35:05] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/02/Mon took 159ms to load.
[21:35:05] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/02/Sat/this.Day took 388ms to load.
[21:35:05] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/02/Sat took 391ms to load.
[21:35:05] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/02/Sun/this.Day took 187ms to load.
[21:35:05] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/02/Sun took 426ms to load.
[21:35:05] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/02/Thu took 122ms to load.
[21:35:05] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/02 took 1998ms to load.
